[1, [1, 2, 3], 32, [64, 64], [0.7853981633974483, 1.5707963267948966, 2.356194490192345], 1, 1, 0]--error: 0.9095193213949104
[1, [3], 32, [64, 64], [0.7853981633974483, 1.5707963267948966, 2.356194490192345], 1, 0, 0]--error: 0.9085768143261075
[1, [2], 32, [64, 64], [0.7853981633974483, 1.5707963267948966, 2.356194490192345], 1, 0, 0]--error: 0.9132893496701225
[1, [1], 32, [64, 64], [0.7853981633974483, 1.5707963267948966, 2.356194490192345], 1, 0, 0]--error: 0.8765315739868049
[1, [1, 2, 3], 32, [64, 64], [0.7853981633974483, 1.5707963267948966, 2.356194490192345], 1, 1, 0]--error: 0.9095193213949104
[1, [1], 32, [64, 64], [0.0, 0.7853981633974483, 1.5707963267948966, 2.356194490192345, 3.141592653589793, 3.9269908169872414, 4.71238898038469, 5.497787143782138], 1, 0, 0]--error: 0.9245994344957588
[1, [1], 32, [64, 64], [0.0, 0.7853981633974483, 1.5707963267948966, 2.356194490192345, 3.141592653589793, 3.9269908169872414, 4.71238898038469, 5.497787143782138], 1, 0, 1]--error: 0.8623939679547596
[1, [1], 18, [48, 36], [0.0, 0.7853981633974483, 1.5707963267948966, 2.356194490192345, 3.141592653589793, 3.9269908169872414, 4.71238898038469, 5.497787143782138], 1, 0, 1]--error: 0.8887841658812441
[1, [1], 18, [48, 36], [0.0, 0.7853981633974483, 1.5707963267948966, 2.356194490192345, 3.141592653589793, 3.9269908169872414, 4.71238898038469, 5.497787143782138], 1, 0, 0]--error: 0.9311969839773798
[1, [1], 18, [48, 36], [0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469], 3, 0, 0]--error: 0.9274269557021678
[1, [2], 18, [48, 36], [0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469], 1, 0, 0]--error: 0.9217719132893497
[1, [2], 18, [48, 36], [0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469], 1, 0, 1]--error: 0.8934967012252591
[1, [1], 18, [48, 36], [0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469], 3, 0, 1]--error: 0.8642789820923656
[1, [1], 18, [48, 36], [0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469], 1, 0, 1]--error: 0.883129123468426
[1, [1], 18, [48, 36], [0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469], 2, 0, 0]--error: 0.9114043355325165
[1, [1], 18, [48, 36], [0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469], 2, 0, 1]--error: 0.8605089538171536
[1, [1], 18, [48, 36], [0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469], 1, 0, 0]--error: 0.9302544769085768
[1, [1], 36, [96, 72], [0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469], 1, 0, 1]--error: 0.8303487276154571
[1, [2], 36, [96, 72], [0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469], 1, 0, 0]--error: 0.9180018850141376
[1, [1], 36, [96, 72], [0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469], 1, 0, 0]--error: 0.9076343072573044
[1, [1, 2], 36, [96, 72], [0.0, 1.5707963267948966, 3.141592653589793, 4.71238898038469], 1, 0, 0]--error: 0.9170593779453345
